customer_id,name,email,salary,sales
7,Sohan,arjun@gmail.com,90000.0,9999
4,Vikram,priya@hotmail.com,50000.0,10000
13,Sohan,aman@outlook.com,80000.0,10000
11,Raj,priya@outlook.com,,50
8,Vikram,priya@outlook.com,60000.0,50
13,Arjun,sohan@yahoo.com,,3000
5,Raj,aman@hotmail.com,80000.0,200
7,Rita,priya@yahoo.com,,7000
10,Neha,sohan@yahoo.com,40000.0,10000
3,Arjun,sohan@gmail.com,60000.0,5000
7,Rita,aman@yahoo.com,60000.0,200
11,Simran,vikram@gmail.com,80000.0,3000
11,Arjun,simran@gmail.com,90000.0,3000
8,Simran,raj@yahoo.com,40000.0,200
5,Vikram,simran@hotmail.com,50000.0,3000
4,Rita,arjun@hotmail.com,,200
8,Neha,raj@hotmail.com,70000.0,100
8,Raj,arjun@hotmail.com,,200
3,Priya,priya@hotmail.com,,9999
6,Sohan,rita@yahoo.com,50000.0,200
5,Aman,aman@yahoo.com,,3000
2,Neha,raj@outlook.com,40000.0,10000
8,Rita,raj@hotmail.com,40000.0,9999
12,Priya,priya@yahoo.com,60000.0,3000
14,Neha,vikram@outlook.com,80000.0,50
6,Rita,sohan@hotmail.com,90000.0,50
2,Meena,priya@gmail.com,70000.0,10000
12,Meena,meena@outlook.com,,10000
5,Simran,sohan@yahoo.com,,9999
1,Neha,aman@gmail.com,50000.0,100
12,Meena,sohan@gmail.com,80000.0,10000
10,Rita,vikram@gmail.com,40000.0,50
6,Simran,sohan@outlook.com,70000.0,200
13,Rita,aman@yahoo.com,60000.0,3000
12,Simran,vikram@gmail.com,40000.0,50
9,Neha,simran@hotmail.com,80000.0,50
1,Priya,raj@gmail.com,90000.0,100
11,Raj,raj@gmail.com,60000.0,9999
11,Arjun,arjun@outlook.com,90000.0,9999
10,Priya,simran@outlook.com,50000.0,7000
12,Vikram,simran@yahoo.com,50000.0,100
12,Rita,sohan@hotmail.com,,200
14,Vikram,raj@outlook.com,90000.0,9999
14,Priya,aman@gmail.com,80000.0,3000
14,Simran,neha@yahoo.com,70000.0,10000
3,Arjun,neha@gmail.com,60000.0,100
12,Arjun,vikram@gmail.com,40000.0,10000
7,Aman,raj@outlook.com,80000.0,50
4,Arjun,raj@yahoo.com,80000.0,3000
9,Raj,neha@hotmail.com,50000.0,3000
