CustomerID,Name,Age,City,Total_Sales,Email,JoinDate
CUST1000,Amit,50.0,Chennai,48835.56,amit0@outlook.com,
CUST1001,Amit,46.0,Bangalore,40933.26,amit1@hotmail.com,
CUST1002,Meera,43.0,Delhi,28920.61,meera2@hotmail.com,2022-01-15
CUST1003,Vikas,,Delhi,35732.54,vikas3@gmail.com,
CUST1004,Priya,39.0,Chennai,7775.87,priya4@hotmail.com,2022-01-15
CUST1005,Anjali,58.0,Mumbai,36556.58,anjali5@outlook.com,2021-07-20
CUST1006,Raj,23.0,Mumbai,44846.29,raj6@yahoo.com,
CUST1007,Karan,21.0,Chennai,21771.51,karan7@gmail.com,
CUST1008,Ravi,47.0,Bangalore,11056.02,ravi8@outlook.com,
CUST1009,Meera,26.0,Chennai,33272.18,meera9@gmail.com,
CUST1010,Anjali,,Kolkata,35249.16,anjali10@gmail.com,
CUST1011,Vikas,25.0,Kolkata,9117.5,vikas11@gmail.com,2022-01-15
CUST1012,Amit,30.0,Delhi,9069.21,amit12@hotmail.com,2022-01-15
CUST1013,Simran,19.0,Kolkata,25807.27,simran13@gmail.com,2022-01-15
CUST1014,Vikas,48.0,Mumbai,45883.93,vikas14@gmail.com,2023-03-05
CUST1015,Anjali,23.0,Kolkata,7021.92,anjali15@hotmail.com,2022-01-15
CUST1016,Ravi,41.0,Chennai,34841.08,ravi16@gmail.com,2023-03-05
CUST1017,Anjali,38.0,Delhi,34853.9,anjali17@hotmail.com,
CUST1018,Amit,33.0,Chennai,35533.89,amit18@gmail.com,2021-07-20
CUST1019,Karan,28.0,Delhi,10180.92,karan19@outlook.com,2021-07-20
CUST1020,Amit,48.0,Pune,39128.58,amit20@yahoo.com,2021-07-20
CUST1021,Karan,48.0,Kolkata,46256.81,karan21@hotmail.com,2023-03-05
CUST1022,Priya,43.0,Pune,39287.33,priya22@gmail.com,2023-03-05
CUST1023,Priya,29.0,Delhi,42805.4,priya23@outlook.com,2022-01-15
CUST1024,Raj,30.0,Pune,44721.74,raj24@yahoo.com,2021-07-20
CUST1025,Karan,25.0,Delhi,46887.33,karan25@yahoo.com,
CUST1026,Ravi,50.0,Mumbai,37860.82,ravi26@yahoo.com,2023-03-05
CUST1027,Neha,26.0,Mumbai,33242.66,neha27@outlook.com,2022-01-15
CUST1028,Amit,52.0,Chennai,5695.11,amit28@hotmail.com,2022-01-15
CUST1029,Priya,52.0,Delhi,17485.41,priya29@hotmail.com,2023-03-05
CUST1030,Simran,29.0,Bangalore,47567.88,simran30@outlook.com,2023-03-05
CUST1031,Vikas,37.0,Pune,40918.34,vikas31@outlook.com,2022-01-15
CUST1032,Simran,25.0,Pune,25294.79,simran32@outlook.com,2022-01-15
CUST1033,Ravi,26.0,Kolkata,20925.72,ravi33@gmail.com,2022-01-15
CUST1034,Vikas,32.0,Bangalore,34576.58,vikas34@gmail.com,
CUST1035,Neha,56.0,Chennai,8500.02,neha35@gmail.com,2023-03-05
CUST1036,Raj,38.0,Pune,47162.59,raj36@hotmail.com,2022-01-15
CUST1037,Meera,22.0,Delhi,46296.03,meera37@yahoo.com,
CUST1038,Meera,31.0,Mumbai,32421.94,meera38@gmail.com,2022-01-15
CUST1039,Vikas,56.0,Kolkata,21239.79,vikas39@hotmail.com,2023-03-05
CUST1040,Priya,27.0,Delhi,23750.96,priya40@yahoo.com,2022-01-15
CUST1041,Ravi,41.0,Mumbai,8755.7,ravi41@yahoo.com,2023-03-05
CUST1042,Neha,41.0,Chennai,31097.19,neha42@gmail.com,2023-03-05
CUST1043,Anjali,44.0,Mumbai,47898.91,anjali43@yahoo.com,
CUST1044,Priya,58.0,Delhi,22173.98,priya44@yahoo.com,
CUST1045,Raj,50.0,Chennai,46262.73,raj45@yahoo.com,2022-01-15
CUST1046,Neha,31.0,Kolkata,17389.78,neha46@outlook.com,2022-01-15
CUST1047,Raj,47.0,Chennai,11638.17,raj47@outlook.com,2021-07-20
CUST1048,Meera,43.0,Delhi,23902.65,meera48@hotmail.com,2021-07-20
CUST1049,Ravi,48.0,Delhi,10749.65,ravi49@gmail.com,
CUST1050,Anjali,42.0,Delhi,22345.45,anjali50@yahoo.com,2023-03-05
CUST1051,Anjali,46.0,Chennai,29456.91,anjali51@hotmail.com,2022-01-15
CUST1052,Ravi,45.0,Mumbai,44427.95,ravi52@gmail.com,2022-01-15
CUST1053,Simran,22.0,Delhi,4834.34,simran53@hotmail.com,
CUST1054,Anjali,56.0,Bangalore,20049.06,anjali54@yahoo.com,2022-01-15
CUST1055,Anjali,31.0,Kolkata,38021.46,anjali55@outlook.com,2021-07-20
CUST1056,Amit,38.0,Kolkata,35110.22,amit56@hotmail.com,2021-07-20
CUST1057,Vikas,27.0,Mumbai,34250.89,vikas57@outlook.com,2022-01-15
CUST1058,Anjali,25.0,Delhi,47720.4,anjali58@gmail.com,2021-07-20
CUST1059,Raj,30.0,Mumbai,46592.21,raj59@gmail.com,2023-03-05
CUST1060,Vikas,24.0,Bangalore,6470.58,vikas60@yahoo.com,2023-03-05
CUST1061,Raj,56.0,Delhi,9318.49,raj61@outlook.com,2023-03-05
CUST1062,Raj,38.0,Chennai,4257.11,raj62@outlook.com,
CUST1063,Priya,52.0,Pune,8938.6,priya63@gmail.com,2023-03-05
CUST1064,Priya,58.0,Pune,30795.38,priya64@outlook.com,
CUST1065,Amit,34.0,Kolkata,31614.64,amit65@gmail.com,
CUST1066,Ravi,34.0,Bangalore,5715.41,ravi66@yahoo.com,2023-03-05
CUST1067,Vikas,45.0,Pune,32275.62,vikas67@hotmail.com,2021-07-20
CUST1068,Amit,22.0,Kolkata,1708.55,amit68@gmail.com,2022-01-15
CUST1069,Amit,21.0,Delhi,13186.74,amit69@outlook.com,2023-03-05
CUST1070,Anjali,43.0,Kolkata,20645.4,anjali70@gmail.com,2022-01-15
CUST1071,Amit,55.0,Kolkata,35022.73,amit71@outlook.com,2021-07-20
CUST1072,Amit,51.0,Kolkata,33396.05,amit72@outlook.com,2022-01-15
CUST1073,Meera,33.0,Bangalore,8109.69,meera73@yahoo.com,2022-01-15
CUST1074,Priya,32.0,Delhi,3808.57,priya74@yahoo.com,
CUST1075,Karan,39.0,Mumbai,6156.43,karan75@hotmail.com,
CUST1076,Priya,48.0,Kolkata,23961.79,priya76@hotmail.com,2021-07-20
CUST1077,Raj,28.0,Kolkata,21536.88,raj77@gmail.com,
CUST1078,Simran,24.0,Mumbai,28628.91,simran78@gmail.com,2023-03-05
CUST1079,Neha,58.0,Chennai,34378.05,neha79@gmail.com,2023-03-05
CUST1080,Priya,41.0,Delhi,17154.5,priya80@hotmail.com,2022-01-15
CUST1081,Karan,23.0,Pune,12466.11,karan81@hotmail.com,2021-07-20
CUST1082,Meera,58.0,Bangalore,29355.66,meera82@outlook.com,
CUST1083,Neha,46.0,Kolkata,38093.07,neha83@yahoo.com,2022-01-15
CUST1084,Karan,52.0,Mumbai,49991.29,karan84@hotmail.com,2021-07-20
CUST1085,Priya,34.0,Chennai,45951.9,priya85@yahoo.com,2021-07-20
CUST1086,Simran,55.0,Kolkata,47557.3,simran86@gmail.com,2021-07-20
CUST1087,Ravi,21.0,Kolkata,30241.46,ravi87@hotmail.com,2022-01-15
CUST1088,Amit,30.0,Chennai,29531.52,amit88@gmail.com,
CUST1089,Vikas,47.0,Chennai,30685.44,vikas89@yahoo.com,2021-07-20
CUST1090,Priya,20.0,Mumbai,16847.17,priya90@yahoo.com,
CUST1091,Amit,57.0,Chennai,24886.88,amit91@yahoo.com,
CUST1092,Vikas,56.0,Mumbai,31914.26,vikas92@outlook.com,2022-01-15
CUST1093,Raj,44.0,Mumbai,29658.88,raj93@gmail.com,2022-01-15
CUST1094,Raj,,Kolkata,14280.26,raj94@outlook.com,
CUST1095,Vikas,30.0,Pune,46077.76,vikas95@yahoo.com,2021-07-20
CUST1096,Raj,45.0,Pune,23858.42,raj96@gmail.com,2023-03-05
CUST1097,Anjali,35.0,Bangalore,26274.97,anjali97@gmail.com,
CUST1098,Anjali,33.0,Pune,47361.24,anjali98@yahoo.com,2022-01-15
CUST1099,Meera,58.0,Kolkata,15323.56,meera99@gmail.com,2022-01-15
CUST1100,Vikas,34.0,Pune,40962.65,vikas100@yahoo.com,2023-03-05
CUST1101,Meera,28.0,Mumbai,44813.48,meera101@outlook.com,2021-07-20
CUST1102,Simran,44.0,Kolkata,3162.53,simran102@yahoo.com,2022-01-15
CUST1103,Neha,39.0,Kolkata,19647.67,neha103@hotmail.com,2021-07-20
CUST1104,Anjali,21.0,Kolkata,42696.43,anjali104@outlook.com,2023-03-05
CUST1105,Karan,56.0,Pune,12168.71,karan105@outlook.com,
CUST1106,Vikas,39.0,Delhi,30188.81,vikas106@yahoo.com,
CUST1107,Amit,44.0,Mumbai,26548.54,amit107@gmail.com,2023-03-05
CUST1108,Neha,42.0,Delhi,6692.78,neha108@gmail.com,2022-01-15
CUST1109,Simran,38.0,Chennai,13736.26,simran109@hotmail.com,2023-03-05
CUST1110,Neha,50.0,Kolkata,1019.45,neha110@yahoo.com,
CUST1111,Neha,41.0,Delhi,9599.4,neha111@gmail.com,2023-03-05
CUST1112,Vikas,27.0,Bangalore,43984.02,vikas112@gmail.com,2021-07-20
CUST1113,Vikas,43.0,Bangalore,40306.06,vikas113@hotmail.com,2021-07-20
CUST1114,Amit,42.0,Delhi,36098.7,amit114@outlook.com,2023-03-05
CUST1115,Karan,59.0,Bangalore,33574.23,karan115@outlook.com,2022-01-15
CUST1116,Anjali,51.0,Kolkata,31009.98,anjali116@gmail.com,2021-07-20
CUST1117,Amit,57.0,Bangalore,46347.75,amit117@yahoo.com,2021-07-20
CUST1118,Karan,20.0,Chennai,2252.01,karan118@gmail.com,2022-01-15
CUST1119,Neha,34.0,Pune,34220.95,neha119@gmail.com,2023-03-05
CUST1120,Simran,29.0,Mumbai,17808.13,simran120@outlook.com,2022-01-15
CUST1121,Raj,29.0,Chennai,35743.65,raj121@outlook.com,2022-01-15
CUST1122,Simran,59.0,Mumbai,25397.43,simran122@outlook.com,2023-03-05
CUST1123,Karan,52.0,Kolkata,18238.85,karan123@outlook.com,2023-03-05
CUST1124,Meera,18.0,Kolkata,35814.64,meera124@yahoo.com,2021-07-20
